,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
10,10,2000.0,45.0,-1.0,-1300.0493402960064,45.318266826561405,-0.0005430737142512891,2000.0,114.0,-1.0,-1466.5597342485019,99.8957688776988,-0.005310142440980661,2331.8880376810002,148.49532425568873,-0.001937356973349642
11,11,2085.3526499784625,148.89642642730038,-0.001617543398693608,-2256.0388845780317,233.99999999999997,-0.0002624299532410291,21221.27808341277,297.68942665359947,-0.01221460935794183,-4243.927403990344,312.0,-0.000693361364548832,2000.0,487.0,-1.0
12,12,2181.6439786471915,149.6863625855216,-0.00236021464888609,-3011.6767518525967,229.99999999999994,-0.00031758450668812797,20306.31841180668,297.9594155321753,-0.013511334144371369,-6819.064072065206,324.04143327782697,-0.009506452232464187,3809.0374986827246,551.7238713049921,-0.00040020852322970125
13,13,2125.712095400635,145.68000890672863,-0.0015081298981129655,-2443.0271010299966,230.0,-0.00032281111618999935,21033.020857469935,298.3954087296736,-0.011897434566589848,-3708.428557588858,312.0,-0.00027729663890513107,2000.0,490.0,-1.0
14,14,2003.7617006046087,144.34775307380067,-0.0034556582928291493,-2000.0,203.0,-1.0,2000.0,207.0,-1.0,-1761.4763949980256,236.0,-0.0002653982370527666,21576.87109155508,297.61025068263467,-0.011111902397068926
15,15,1906.7664022543704,144.71433995957327,-0.0026960302925045543,-2000.0,211.0,-1.0,2000.0,216.0,-1.0,-2176.545721432873,237.0,-0.0003011149824820877,21737.859145378337,297.78965029690676,-0.011700244461468584
16,16,1886.1684204441674,144.41227747210243,-0.0033392201037185524,-2299.239914129431,226.0,-0.0004660868546202725,21043.613788649058,298.34656520031695,-0.011231399307037464,-6409.146398016599,322.53919555185047,-0.010995146853523449,2000.0,491.0,-1.0
17,17,2000.0,159.0,-1.0,-2000.0,160.0,-1.0,1774.0789705091943,149.85636778357235,-0.0064435512679534455,-2309.5297708755093,228.0,-0.0003981855175748709,21045.91185828375,297.84315669772985,-0.012125246576220583
18,18,2000.0,156.0,-1.0,-2000.0,159.0,-1.0,1775.0707380666777,147.63917439127206,-0.003107826973792467,-2555.12804807002,232.99999999999997,-0.00044118019893747375,21180.62780336951,297.7926297336133,-0.012130546439425826
19,19,1735.780418441545,148.0182644216422,-0.0036326479912213074,-2155.0191372443087,227.99999999999997,-0.00034624521775572997,20968.78054438606,297.909982551197,-0.01075167640594221,-5804.937634711775,323.5400617446398,-0.009879343745323463,2000.0,430.0,-1.0
20,20,1740.6730348034744,145.03038923450094,-0.0030920277998218427,-2171.6089283728766,227.0,-0.00033363925438868063,21400.125850641656,298.5761187189945,-0.012669625195213047,-5750.184222414474,324.03168434250205,-0.009935595366463858,2000.0,477.0,-1.0
21,21,2000.0,154.0,-1.0,-2000.0,156.0,-1.0,1803.859949163922,147.1860792798877,-0.004333648216555704,-2416.22792824314,226.0,-0.0003883037772055816,21070.84068055039,298.7322062210522,-0.012143661670869756
22,22,1914.0872386554436,144.69568140976884,-0.0036116073469596834,-2252.8237243833078,222.9999999999999,-0.0002907947900227681,21181.064506606635,298.10246420842566,-0.01240225995607224,-5900.249361218111,323.44344125548264,-0.010955894869931444,2000.0,427.0,-1.0
23,23,1599.3028797206268,148.09641905131636,-0.004394863670523937,-2276.660417834124,231.0,-0.0003840004002991076,21127.548986895727,298.8378226195888,-0.012392030164120448,-4001.736913003464,313.0,-0.0005089787064255039,3676.9094106591356,560.4224662447835,-0.00047500637638869824
24,24,1412.9904509904509,149.14428056878208,-0.00482062698912689,-2379.240342974579,229.0,-0.00041063508579264845,19894.25588195815,298.69525533472904,-0.01179347457595932,-3778.396450278023,313.0,-0.0006681803365969417,2000.0,484.0,-1.0
